Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,6/29/2022,604,N846UA,DEN,15:04,15:08,199,196,4,15:03,5,0,0,0,0,0,2022-06-29,27.5,16.1,33.9,1.3,0.0,240.0,19.8,,1012.3,
UA,6/29/2022,1503,N37470,ORD,23:59,23:40,114,99,-19,23:29,11,0,0,0,0,0,2022-06-29,24.9,18.9,31.1,0.5,0.0,178.0,12.2,,1020.0,
UA,6/29/2022,2615,N68836,IAD,23:35,23:27,73,69,-8,23:20,7,0,0,0,0,0,2022-06-29,22.3,13.3,30.6,0.0,0.0,208.0,9.4,,1022.9,
UA,6/30/2017,1500,N424UA,ORD,16:37,18:10,110,120,93,18:04,6,0,0,93,0,0,2017-06-30,22.8,17.8,28.9,0.0,0.0,244.0,10.4,,1009.4,
UA,6/30/2019,607,N37287,ORD,21:18,23:53,118,136,155,23:48,5,0,0,18,0,137,2019-06-30,25.4,21.1,32.8,5.1,0.0,202.0,9.4,,1016.3,
UA,6/30/2019,2341,N16732,ORD,14:48,14:42,108,105,-6,14:36,6,0,0,0,0,0,2019-06-30,25.4,21.1,32.8,5.1,0.0,202.0,9.4,,1016.3,
UA,6/30/2021,1452,N463UA,ORD,21:34,21:52,114,98,18,21:48,4,0,18,0,0,0,2021-06-30,24.9,21.1,28.3,7.4,0.0,249.0,9.4,,1017.4,
UA,6/30/2022,288,N802UA,ORD,16:50,16:34,115,102,-16,16:29,5,0,0,0,0,0,2022-06-30,27.3,22.8,33.3,0.0,0.0,216.0,21.6,,1015.9,
UA,6/30/2022,604,N892UA,DEN,15:04,15:00,199,196,-4,14:55,5,0,0,0,0,0,2022-06-30,23.1,13.9,27.8,0.0,0.0,234.0,21.6,,1013.5,
UA,6/30/2022,1503,N69839,ORD,23:59,23:39,114,91,-20,23:35,4,0,0,0,0,0,2022-06-30,27.3,22.8,33.3,0.0,0.0,216.0,21.6,,1015.9,
