Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,2/4/2022,1282,N417UA,IAD,23:44,23:43,69,71,-1,23:31,12,0,0,0,0,0,2022-02-04,9.0,0.0,16.7,16.5,0.0,322.0,20.9,,1013.7,
UA,2/5/2019,607,N813UA,ORD,20:49,20:21,109,88,-28,20:17,4,0,0,0,0,0,2019-02-05,-1.4,-4.3,0.6,7.9,0.0,26.0,15.1,,1018.7,
UA,2/5/2020,1643,N12754,ORD,21:19,20:49,109,85,-30,20:46,3,0,0,0,0,0,2020-02-05,-1.1,-2.7,0.6,1.8,0.0,39.0,20.5,,1017.7,
UA,2/5/2022,1874,N831UA,IAD,23:44,23:31,69,64,-13,23:25,6,0,0,0,0,0,2022-02-05,-0.1,-5.5,0.6,0.0,0.0,331.0,19.4,,1027.7,
UA,2/6/2019,607,N834UA,ORD,20:49,20:33,109,96,-16,20:20,13,0,0,0,0,0,2019-02-06,0.4,0.0,2.2,0.3,0.0,18.0,13.7,,1013.8,
UA,2/6/2020,1643,N12754,ORD,21:19,21:03,109,102,-16,20:59,4,0,0,0,0,0,2020-02-06,-1.8,-2.7,-1.0,1.3,30.0,7.0,20.9,,1004.9,
UA,2/6/2022,1874,N828UA,IAD,23:44,23:34,69,60,-10,23:29,5,0,0,0,0,0,2022-02-06,-1.4,-8.8,2.8,0.0,0.0,71.0,3.6,,1033.7,
UA,2/7/2019,607,N899UA,ORD,20:49,21:36,109,102,47,21:31,5,47,0,0,0,0,2019-02-07,2.0,-12.1,6.7,18.0,0.0,349.0,20.9,,1008.6,
UA,2/7/2020,1643,N24736,ORD,21:19,21:12,109,105,-7,21:05,7,0,0,0,0,0,2020-02-07,-1.1,-4.3,3.3,0.0,50.0,294.0,12.6,,1007.8,
UA,2/7/2022,1874,N876UA,IAD,23:44,23:30,69,64,-14,23:25,5,0,0,0,0,0,2022-02-07,0.2,-4.3,6.1,0.3,0.0,354.0,3.6,,1024.0,
UA,2/8/2019,607,N813UA,ORD,20:49,20:39,109,103,-10,20:34,5,0,0,0,0,0,2019-02-08,-11.4,-15.5,-10.5,0.0,0.0,263.0,28.4,,1032.1,
UA,2/8/2020,2027,N13750,ORD,21:19,21:29,109,90,10,21:25,4,0,0,0,0,0,2020-02-08,0.2,-2.1,2.8,0.0,0.0,246.0,10.1,,1019.5,
UA,2/8/2022,1874,N824UA,IAD,23:44,23:36,69,67,-8,23:29,7,0,0,0,0,0,2022-02-08,2.2,-4.9,8.9,0.0,0.0,345.0,7.6,,1017.6,
UA,2/9/2019,607,N801UA,ORD,20:49,20:27,109,90,-22,20:21,6,0,0,0,0,0,2019-02-09,-11.2,-15.5,-4.3,0.0,0.0,106.0,9.4,,1043.8,
UA,2/9/2020,1643,N25705,ORD,21:19,21:36,109,101,17,21:33,3,0,1,0,0,16,2020-02-09,-0.7,-3.8,2.8,3.6,0.0,188.0,16.2,,1018.6,
UA,2/9/2022,1874,N436UA,IAD,23:44,23:57,69,63,13,23:53,4,0,0,0,0,0,2022-02-09,2.3,-6.0,13.9,0.0,0.0,193.0,8.3,,1015.8,
