Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,12/11/2019,1643,N813UA,ORD,21:05,20:51,115,107,-14,20:46,5,0,0,0,0,0,2019-12-11,-7.8,-10.5,-4.3,0.0,0.0,246.0,11.9,,1030.6,
UA,12/11/2021,2000,N878UA,ORD,20:51,20:34,111,98,-17,20:29,5,0,0,0,0,0,2021-12-11,7.4,0.0,14.4,0.0,0.0,250.0,26.3,,1002.9,
UA,12/11/2022,308,N816UA,EWR,23:16,2:18,77,72,182,2:14,4,10,0,0,0,172,2022-12-11,3.7,1.1,5.0,7.6,0.0,29.0,16.2,,1022.7,
UA,12/11/2022,604,N890UA,DEN,14:57,14:45,194,183,-12,14:41,4,0,0,0,0,0,2022-12-11,5.6,-4.9,17.8,0.0,0.0,207.0,21.6,,1008.6,
UA,12/11/2022,1998,N894UA,ORD,21:04,20:46,114,104,-18,20:40,6,0,0,0,0,0,2022-12-11,3.5,2.2,4.4,0.0,0.0,322.0,8.6,,1023.3,
UA,12/12/2019,1643,N812UA,ORD,21:05,20:29,115,94,-36,20:26,3,0,0,0,0,0,2019-12-12,-2.2,-7.1,7.2,0.0,0.0,178.0,19.8,,1023.9,
UA,12/12/2021,2000,N895UA,ORD,20:51,20:28,111,93,-23,20:23,5,0,0,0,0,0,2021-12-12,3.3,0.0,8.9,0.0,0.0,214.0,23.0,,1018.8,
UA,12/12/2022,308,N832UA,EWR,23:16,23:38,77,57,22,23:34,4,22,0,0,0,0,2022-12-12,1.9,-1.6,3.9,0.0,0.0,0.0,20.2,,1021.7,
UA,12/12/2022,604,N890UA,DEN,14:57,14:49,194,190,-8,14:43,6,0,0,0,0,0,2022-12-12,8.1,-4.9,12.2,0.0,0.0,199.0,23.4,,998.0,
UA,12/12/2022,1998,N422UA,ORD,21:04,20:58,114,114,-6,20:52,6,0,0,0,0,0,2022-12-12,3.6,1.7,5.6,0.0,0.0,77.0,12.2,,1025.7,
