Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,2/27/2019,607,N827UA,ORD,21:20,21:16,105,104,-4,21:09,7,0,0,0,0,0
UA,2/27/2020,1643,N17719,ORD,21:19,21:12,109,110,-7,21:09,3,0,0,0,0,0
UA,2/27/2022,1094,N485UA,ORD,20:59,21:01,109,112,2,20:56,5,0,0,0,0,0
UA,2/27/2022,1200,N895UA,DEN,15:09,15:20,199,198,11,15:14,6,0,0,0,0,0
UA,2/27/2022,1874,N65832,IAD,23:29,23:24,69,68,-5,23:19,5,0,0,0,0,0
UA,2/28/2019,607,N805UA,ORD,21:20,21:11,105,102,-9,21:07,4,0,0,0,0,0
UA,2/28/2020,1643,N73275,ORD,0:13,0:05,106,106,-8,0:01,4,0,0,0,0,0
UA,2/28/2022,1094,N808UA,ORD,20:59,21:03,109,102,4,20:59,4,0,0,0,0,0
UA,2/28/2022,1200,N824UA,DEN,15:09,15:00,199,185,-9,14:54,6,0,0,0,0,0
UA,2/28/2022,1874,N64844,IAD,23:29,23:32,69,64,3,23:27,5,0,0,0,0,0
UA,2/29/2020,617,N13716,ORD,21:19,22:10,109,102,51,22:04,6,0,0,11,0,40
UA,3/1/2019,607,N803UA,ORD,21:20,21:40,105,94,20,21:37,3,1,0,0,0,19
UA,3/1/2020,1643,N38727,ORD,21:19,20:52,109,92,-27,20:48,4,0,0,0,0,0
UA,3/1/2022,1094,N852UA,ORD,20:59,20:51,109,103,-8,20:46,5,0,0,0,0,0
UA,3/1/2022,1200,N823UA,DEN,15:09,15:02,199,190,-7,14:56,6,0,0,0,0,0
UA,3/1/2022,1874,N28478,IAD,23:29,23:34,69,80,5,23:28,6,0,0,0,0,0
UA,3/2/2019,607,N805UA,ORD,20:45,21:17,105,95,32,21:10,7,32,0,0,0,0
UA,3/2/2020,1643,N27724,ORD,21:19,21:21,109,109,2,21:15,6,0,0,0,0,0
UA,3/2/2022,1094,N484UA,ORD,20:59,20:52,109,107,-7,20:46,6,0,0,0,0,0
