Arrival Delay (Minutes),Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Atmospheric Pressure(hPa) /Day,Day,Month,Year,Scheduled Arrival Hour,Scheduled Arrival Minute,Status,Origin Airport_EWR,Origin Airport_IAD,Origin Airport_ORD
-8,7.7,3.9,15.0,1.0,0.0,225.0,15.1,1004.6,14,10,2022,16,47,On-Time,0,0,1
-9,7.7,3.9,15.0,1.0,0.0,225.0,15.1,1004.6,14,10,2022,21,18,On-Time,0,0,1
-9,14.9,6.7,20.6,0.0,0.0,147.0,6.8,1013.3,14,10,2022,23,31,On-Time,0,1,0
-24,15.7,8.3,20.0,5.1,0.0,282.0,25.2,1015.9048226950349,15,10,2017,16,33,Early,0,0,1
-6,10.0,5.0,16.7,0.0,0.0,189.0,16.9,1010.8,15,10,2019,21,2,On-Time,0,0,1
-24,20.0,13.9,28.3,0.0,0.0,56.0,5.8,1013.3,15,10,2021,23,44,Early,0,1,0
-8,22.6,17.2,28.9,0.0,0.0,277.0,6.8,1012.7,15,10,2021,22,15,On-Time,1,0,0
-13,12.3,2.8,16.7,0.0,0.0,5.0,10.8,1016.9,15,10,2022,15,9,Early,0,0,0
-12,6.6,1.7,11.7,0.0,0.0,234.0,17.3,1011.9,15,10,2022,16,47,Early,0,0,1
-16,6.6,1.7,11.7,0.0,0.0,234.0,17.3,1011.9,15,10,2022,21,18,Early,0,0,1
-6,14.0,5.0,24.4,0.0,0.0,174.0,12.6,1015.0,15,10,2022,23,31,On-Time,0,1,0
-11,10.9,6.1,17.2,0.0,0.0,251.0,11.9,1024.7,16,10,2017,16,37,Early,0,0,1
-12,9.3,5.0,11.1,0.0,0.0,298.0,22.7,1012.6,16,10,2019,21,2,Early,0,0,1
13,20.3,10.0,25.6,11.7,0.0,227.0,16.2,1008.3,16,10,2021,23,44,Late,0,1,0
-17,11.2,6.7,15.0,0.0,0.0,285.0,16.9,1015.9,16,10,2021,21,2,Early,0,0,1
0,10.0,2.8,14.4,0.0,0.0,38.0,7.2,1024.6,16,10,2022,15,9,On-Time,0,0,0
-18,8.8,4.4,12.2,0.0,0.0,277.0,15.5,1013.5,16,10,2022,16,47,Early,0,0,1
-12,8.8,4.4,12.2,0.0,0.0,277.0,15.5,1013.5,16,10,2022,21,18,Early,0,0,1
-10,14.9,8.9,22.8,0.0,0.0,316.0,7.2,1014.0,16,10,2022,23,31,On-Time,0,1,0
-6,13.9,9.4,21.1,0.0,0.0,217.0,19.1,1021.4,17,10,2017,16,37,On-Time,0,0,1
-20,7.8,4.4,12.2,0.0,0.0,317.0,9.0,1016.9,17,10,2019,21,2,Early,0,0,1
-18,13.4,7.2,18.9,0.0,0.0,290.0,16.9,1014.5,17,10,2021,23,44,Early,0,1,0
-12,11.8,5.6,18.9,0.0,0.0,273.0,11.5,1019.4,17,10,2021,21,2,Early,0,0,1
-3,8.6,1.7,17.2,0.0,0.0,180.0,10.4,1023.7,17,10,2022,15,9,On-Time,0,0,0
-10,5.1,2.2,6.1,0.0,0.0,306.0,27.4,1012.5,17,10,2022,16,47,On-Time,0,0,1
-11,5.1,2.2,6.1,0.0,0.0,306.0,27.4,1012.5,17,10,2022,21,18,Early,0,0,1
-22,16.3,10.0,22.2,0.0,0.0,228.0,16.9,1005.5,17,10,2022,23,31,Early,0,1,0
0,15.2,8.3,21.7,0.0,0.0,201.0,20.5,1019.1,18,10,2017,16,37,On-Time,0,0,1
-11,8.2,3.3,15.0,0.0,0.0,164.0,11.2,1016.4,18,10,2019,21,2,Early,0,0,1
1,13.9,7.2,22.2,0.0,0.0,243.0,6.8,1019.3,18,10,2021,21,2,On-Time,0,0,1
0,9.8,3.3,20.6,0.0,0.0,264.0,13.3,1023.1,18,10,2022,15,9,On-Time,0,0,0
-6,4.4,1.7,9.4,0.0,0.0,319.0,27.0,1016.2,18,10,2022,16,47,On-Time,0,0,1
-4,4.4,1.7,9.4,0.0,0.0,319.0,27.0,1016.2,18,10,2022,21,18,On-Time,0,0,1
48,8.7,0.6,12.8,0.0,0.0,310.0,12.6,1007.8,18,10,2022,23,31,Severely Late,0,1,0
-9,16.3,10.6,21.1,0.0,0.0,198.0,10.4,1020.1,19,10,2017,16,37,On-Time,0,0,1
-20,11.9,6.7,20.0,0.0,0.0,182.0,12.6,1009.2,19,10,2019,21,2,Early,0,0,1
-15,15.9,11.1,21.7,0.0,0.0,207.0,13.0,1018.4,19,10,2021,21,2,Early,0,0,1
-12,13.9,6.1,25.6,0.0,0.0,285.0,16.9,1020.5,19,10,2022,15,9,Early,0,0,0
-4,5.3,0.6,8.9,0.0,0.0,276.0,18.0,1015.1,19,10,2022,16,47,On-Time,0,0,1
-18,5.3,0.6,8.9,0.0,0.0,276.0,18.0,1015.1,19,10,2022,21,18,Early,0,0,1
-11,6.8,1.1,13.9,0.0,0.0,226.0,12.6,1012.4,19,10,2022,23,31,Early,0,1,0
-4,16.3,10.6,25.6,0.0,0.0,184.0,14.4,1019.5,20,10,2017,16,37,On-Time,0,0,1
-20,13.5,8.9,17.2,0.0,0.0,19.0,11.9,1011.6,20,10,2019,21,2,Early,0,0,1
-11,16.3,11.7,22.2,0.0,0.0,195.0,13.7,1015.3,20,10,2021,21,2,Early,0,0,1
4,15.6,7.8,26.1,0.0,0.0,223.0,14.8,1013.1,20,10,2022,15,9,On-Time,0,0,0
-18,6.1,0.6,16.7,0.0,0.0,227.0,11.9,1008.8,20,10,2022,16,47,Early,0,0,1
-8,6.1,0.6,16.7,0.0,0.0,227.0,11.9,1008.8,20,10,2022,21,18,On-Time,0,0,1
-5,8.1,0.6,16.7,0.0,0.0,190.0,10.4,1015.8,20,10,2022,23,31,On-Time,0,1,0
-34,13.4,10.0,19.4,1.3,0.0,152.0,25.2,1001.6,21,10,2019,21,2,Early,0,0,1
0,13.7,6.7,18.3,0.0,0.0,275.0,18.0,1012.6,21,10,2021,21,2,On-Time,0,0,1
-12,11.9,5.0,19.4,0.0,0.0,268.0,5.8,1019.7,21,10,2022,19,2,Early,1,0,0
2,17.4,11.1,25.6,0.0,0.0,241.0,20.2,1003.3,21,10,2022,15,9,On-Time,0,0,0
-18,12.9,6.1,24.4,0.0,0.0,204.0,18.4,1006.7,21,10,2022,16,47,Early,0,0,1
-19,12.9,6.1,24.4,0.0,0.0,204.0,18.4,1006.7,21,10,2022,21,18,Early,0,0,1
6,9.7,0.0,19.4,0.0,0.0,324.0,4.7,1019.8,21,10,2022,23,31,On-Time,0,1,0
-2,18.7,10.6,21.1,9.4,0.0,184.0,21.2,1014.7,22,10,2017,16,33,On-Time,0,0,1
-22,10.0,6.7,10.6,0.3,0.0,231.0,27.7,1002.6,22,10,2019,21,2,Early,0,0,1
-12,18.7,13.9,20.6,0.0,0.0,307.0,12.2,1013.3,22,10,2021,23,44,Early,0,1,0
-17,8.8,5.0,13.3,0.0,0.0,322.0,9.0,1017.1,22,10,2021,21,2,Early,0,0,1
-14,16.9,6.1,25.0,0.0,0.0,196.0,16.9,994.4,22,10,2022,15,9,Early,0,0,0
-7,19.4,13.3,26.1,0.0,0.0,184.0,21.6,1008.8,22,10,2022,16,59,On-Time,0,0,1
-5,19.4,13.3,26.1,0.0,0.0,184.0,21.6,1008.8,22,10,2022,21,18,On-Time,0,0,1
-18,11.1,0.6,21.7,0.0,0.0,64.0,4.3,1023.3,22,10,2022,23,31,Early,0,1,0
-3,11.3,10.0,12.2,18.5,0.0,327.0,14.8,1008.9,23,10,2017,16,37,On-Time,0,0,1
-26,8.6,3.9,14.4,0.5,0.0,221.0,14.0,1012.5,23,10,2019,21,2,Early,0,0,1
-22,8.6,3.9,14.4,0.5,0.0,221.0,14.0,1012.5,23,10,2019,12,16,Early,0,0,1
8,15.8,8.9,20.0,0.0,0.0,312.0,8.3,1015.4,23,10,2021,23,44,On-Time,0,1,0
24,8.6,3.9,13.3,0.0,0.0,348.0,5.8,1016.9,23,10,2021,21,2,Late,0,0,1
-4,16.1,1.7,20.6,0.0,0.0,194.0,25.2,990.4,23,10,2022,15,9,On-Time,0,0,0
-8,20.8,16.7,26.1,0.0,0.0,175.0,25.9,1011.7,23,10,2022,16,47,On-Time,0,0,1
-9,20.8,16.7,26.1,0.0,0.0,175.0,25.9,1011.7,23,10,2022,21,18,On-Time,0,0,1
-13,11.3,3.3,19.4,0.0,0.0,355.0,12.6,1023.6,23,10,2022,23,31,Early,0,1,0
19,9.1,5.6,10.0,22.1,0.0,279.0,20.2,1003.2,24,10,2017,16,37,Late,0,0,1
-30,8.4,5.6,10.0,0.0,0.0,318.0,10.1,1024.0,24,10,2019,21,2,Early,0,0,1
-3,14.6,11.1,21.7,0.5,0.0,135.0,9.7,1019.4,24,10,2021,23,44,On-Time,0,1,0
-2,7.6,3.9,10.6,47.0,0.0,62.0,19.8,1013.2,24,10,2021,21,2,On-Time,0,0,1
-13,4.8,-0.5,11.7,0.0,0.0,273.0,15.1,1009.3,24,10,2022,15,9,Early,0,0,0
-17,21.2,17.2,24.4,0.0,0.0,174.0,25.6,1010.3,24,10,2022,16,47,Early,0,0,1
6,21.2,17.2,24.4,0.0,0.0,174.0,25.6,1010.3,24,10,2022,21,18,On-Time,0,0,1
1,16.2,12.8,20.0,0.0,0.0,4.0,10.1,1020.9,24,10,2022,23,31,On-Time,0,1,0
-21,6.9,2.8,8.9,0.0,0.0,311.0,6.1,1026.5,25,10,2019,21,2,Early,0,0,1
-3,9.8,8.3,12.8,19.3,0.0,31.0,31.7,1011.0,25,10,2021,21,2,On-Time,0,0,1
-9,7.3,2.2,14.4,0.0,0.0,201.0,16.9,1012.6,25,10,2022,15,9,On-Time,0,0,0
14,17.7,7.8,21.1,18.8,0.0,187.0,16.2,1005.2,25,10,2022,16,47,Late,0,0,1
-20,17.7,7.8,21.1,18.8,0.0,187.0,16.2,1005.2,25,10,2022,21,18,Early,0,0,1
-11,16.1,14.4,18.9,0.0,0.0,81.0,5.4,1017.6,25,10,2022,23,31,Early,0,1,0
-9,9.5,5.0,13.9,0.0,0.0,11.0,12.2,1018.7,26,10,2021,21,2,On-Time,0,0,1
-19,8.4,3.9,15.0,0.0,0.0,103.0,12.2,1010.0,26,10,2022,15,9,Early,0,0,0
-14,9.0,4.4,12.2,1.0,0.0,329.0,14.4,1013.9,26,10,2022,16,47,Early,0,0,1
-12,9.0,4.4,12.2,1.0,0.0,329.0,14.4,1013.9,26,10,2022,21,18,Early,0,0,1
-8,15.9,12.2,20.0,0.8,0.0,222.0,11.5,1011.1,26,10,2022,23,31,On-Time,0,1,0
-19,7.2,3.3,11.1,0.0,0.0,250.0,25.2,1007.8,27,10,2017,16,37,Early,0,0,1
-17,9.2,5.6,14.4,1.0,0.0,246.0,15.5,1009.4,27,10,2019,14,58,Early,0,0,1
21,9.2,5.6,14.4,1.0,0.0,246.0,15.5,1009.4,27,10,2019,20,55,Late,0,0,1
-9,8.4,3.3,13.3,0.0,0.0,109.0,11.9,1014.8,27,10,2021,21,2,On-Time,0,0,1
4,5.0,0.6,8.9,1.8,0.0,308.0,18.7,1015.1,27,10,2022,15,9,On-Time,0,0,0
-10,7.5,2.8,12.2,0.0,0.0,72.0,9.4,1026.8,27,10,2022,16,47,On-Time,0,0,1
-15,7.5,2.8,12.2,0.0,0.0,72.0,9.4,1026.8,27,10,2022,21,18,Early,0,0,1
-9,14.9,10.0,18.9,0.0,0.0,344.0,17.6,1021.7,27,10,2022,23,31,On-Time,0,1,0
-11,8.4,5.0,9.4,0.0,0.0,289.0,6.1,1017.1,28,10,2019,14,58,Early,0,0,1
-16,8.4,5.0,9.4,0.0,0.0,289.0,6.1,1017.1,28,10,2019,20,55,Early,0,0,1
56,10.7,8.9,13.9,11.2,0.0,92.0,15.8,1003.1,28,10,2021,21,2,Severely Late,0,0,1
-15,11.4,6.7,15.6,0.0,0.0,34.0,15.8,1032.2,28,10,2022,19,2,Early,1,0,0
52,5.7,-1.0,17.2,0.0,0.0,215.0,16.9,1023.7,28,10,2022,15,9,Severely Late,0,0,0
3,10.4,6.7,16.1,0.0,0.0,84.0,6.1,1028.9,28,10,2022,16,47,On-Time,0,0,1
-12,10.4,6.7,16.1,0.0,0.0,84.0,6.1,1028.9,28,10,2022,21,18,Early,0,0,1
-21,10.8,5.6,15.0,0.0,0.0,13.0,10.4,1030.7,28,10,2022,23,31,Early,0,1,0
-10,4.6,1.7,7.2,3.8,0.0,336.0,13.3,1022.2,29,10,2019,14,58,On-Time,0,0,1
-25,4.6,1.7,7.2,3.8,0.0,336.0,13.3,1022.2,29,10,2019,20,55,Early,0,0,1
1,14.7,12.8,16.1,33.5,0.0,62.0,19.1,1001.8,29,10,2021,23,44,On-Time,0,1,0
-11,12.4,11.7,13.3,13.5,0.0,25.0,28.4,1001.6,29,10,2021,21,2,Early,0,0,1
-2,8.2,-0.5,16.1,0.0,0.0,187.0,12.2,1020.6,29,10,2022,15,9,On-Time,0,0,0
-13,10.4,3.9,19.4,0.0,0.0,52.0,5.0,1025.9,29,10,2022,16,47,Early,0,0,1
-15,10.3,2.2,18.3,0.0,0.0,2.0,5.8,1030.3,29,10,2022,23,31,Early,0,1,0
3,2.5,0.0,5.0,15.7,30.0,23.0,19.8,1022.0,30,10,2019,20,55,On-Time,0,0,1
-14,12.4,7.2,15.0,1.0,0.0,4.0,19.8,1004.9,30,10,2021,21,2,Early,0,0,1
-8,7.5,0.0,16.1,0.0,0.0,222.0,13.0,1017.7,30,10,2022,14,57,On-Time,0,0,0
-16,11.4,7.2,18.3,1.3,0.0,32.0,6.5,1015.7,30,10,2022,21,4,Early,0,0,1
3,9.3,3.9,11.7,0.0,0.0,294.0,16.2,1013.5,31,10,2021,20,51,On-Time,0,0,1
14,9.7,2.2,20.6,0.0,0.0,210.0,13.0,1012.1,31,10,2022,14,57,Late,0,0,0
-5,12.8,10.0,13.9,0.5,0.0,21.0,7.9,1010.5,31,10,2022,21,4,On-Time,0,0,1
-15,-0.6,-4.9,6.7,0.3,50.0,219.0,15.5,1021.9,1,11,2019,14,58,Early,0,0,1
-22,-0.6,-4.9,6.7,0.3,50.0,219.0,15.5,1021.9,1,11,2019,20,55,Early,0,0,1
-15,5.2,1.7,9.4,0.0,0.0,270.0,13.0,1024.9,1,11,2021,20,51,Early,0,0,1
4,12.2,4.4,23.9,0.0,0.0,211.0,15.1,1009.3,1,11,2022,14,57,On-Time,0,0,0
14,12.9,7.2,20.0,0.0,0.0,229.0,8.3,1019.5,1,11,2022,21,8,Late,0,0,1
-16,4.2,0.0,8.3,0.0,0.0,277.0,13.0,1027.2,2,11,2021,20,51,Early,0,0,1
78,15.2,8.9,22.8,0.0,0.0,198.0,19.1,1003.5,2,11,2022,14,57,Severely Late,0,0,0
-2,13.4,6.1,22.2,0.0,0.0,170.0,9.4,1023.2,2,11,2022,21,8,On-Time,0,0,1
24,3.8,-1.0,11.7,0.0,0.0,203.0,12.6,1018.2,3,11,2019,20,55,Late,0,0,1
2,3.8,-1.0,11.7,0.0,0.0,203.0,12.6,1018.2,3,11,2019,14,58,On-Time,0,0,1
-3,2.7,-1.6,7.2,0.0,0.0,306.0,8.3,1029.0,3,11,2021,20,51,On-Time,0,0,1
118,7.9,-3.2,11.7,4.8,130.0,51.0,16.2,1008.5,3,11,2022,14,57,Severely Late,0,0,0
-33,16.7,11.1,22.8,0.0,0.0,182.0,20.5,1018.6,3,11,2022,21,8,Early,0,0,1
23,8.7,3.3,10.6,0.0,0.0,247.0,17.3,1014.5,4,11,2019,14,58,Late,0,0,1
-21,8.7,3.3,10.6,0.0,0.0,247.0,17.3,1014.5,4,11,2019,20,55,Early,0,0,1
9,3.2,-1.6,8.3,0.0,0.0,234.0,7.6,1027.3,4,11,2021,20,51,On-Time,0,0,1
-5,-0.9,-5.5,7.2,0.0,100.0,274.0,9.4,1013.2,4,11,2022,14,57,On-Time,0,0,0
-7,18.1,16.1,22.2,2.5,0.0,186.0,22.0,1010.2,4,11,2022,21,8,On-Time,0,0,1
-29,3.2,-1.0,4.4,0.0,0.0,260.0,12.2,1024.8,5,11,2019,14,58,Early,0,0,1
-6,3.2,-1.0,4.4,0.0,0.0,260.0,12.2,1024.8,5,11,2019,20,55,On-Time,0,0,1
6,5.3,1.1,11.1,0.0,0.0,202.0,12.6,1026.7,5,11,2021,20,51,On-Time,0,0,1
-4,6.4,-1.6,16.1,0.0,0.0,262.0,16.2,1000.7,5,11,2022,14,57,On-Time,0,0,0
184,16.7,7.2,20.6,4.6,0.0,194.0,33.8,1000.9,5,11,2022,22,39,Severely Late,0,0,1
88,3.7,-1.6,12.8,0.3,0.0,217.0,18.4,1025.9,6,11,2019,14,58,Severely Late,0,0,1
-23,3.7,-1.6,12.8,0.3,0.0,217.0,18.4,1025.9,6,11,2019,20,55,Early,0,0,1
-14,7.7,2.2,15.0,0.0,0.0,203.0,15.8,1022.0,6,11,2021,20,51,Early,0,0,1
-6,5.7,-1.0,9.4,0.0,0.0,119.0,20.5,1013.5,6,11,2022,14,57,On-Time,0,0,0
-20,10.3,7.2,16.1,0.0,0.0,222.0,18.4,1014.0,6,11,2022,21,4,Early,0,0,1
-4,-2.1,-6.6,-0.5,0.0,0.0,324.0,18.0,1031.0,7,11,2019,14,58,On-Time,0,0,1
43,-2.1,-6.6,-0.5,0.0,0.0,324.0,18.0,1031.0,7,11,2019,20,55,Severely Late,0,0,1
-13,11.3,5.0,18.3,0.0,0.0,208.0,15.8,1019.5,7,11,2021,20,51,Early,0,0,1
18,6.1,1.7,13.9,0.0,0.0,230.0,20.2,1014.5,7,11,2022,14,57,Late,0,0,0
31,9.2,3.9,12.2,0.0,0.0,349.0,13.0,1032.4,7,11,2022,21,4,Severely Late,0,0,1
-12,-5.0,-8.8,0.0,0.0,0.0,255.0,11.5,1030.5,8,11,2019,14,58,Early,0,0,1
3,-5.0,-8.8,0.0,0.0,0.0,255.0,11.5,1030.5,8,11,2019,20,55,On-Time,0,0,1
56,13.3,9.4,18.3,0.0,0.0,226.0,12.6,1018.7,8,11,2021,20,51,Severely Late,0,0,1
1,13.5,5.0,23.3,0.0,0.0,187.0,24.8,1008.0,8,11,2022,14,57,On-Time,0,0,0
-21,8.8,6.7,12.2,0.0,0.0,98.0,17.6,1034.3,8,11,2022,21,4,Early,0,0,1
-7,12.6,5.6,14.4,0.0,0.0,24.0,15.1,1020.9,9,11,2021,20,51,On-Time,0,0,1
-12,5.8,-3.2,9.4,0.0,0.0,10.0,13.0,1005.6,9,11,2022,14,57,Early,0,0,0
-19,12.9,8.3,21.1,0.0,0.0,178.0,16.2,1023.0,9,11,2022,21,4,Early,0,0,1
-26,4.8,0.6,6.1,1.0,0.0,352.0,13.7,1016.5,10,11,2019,20,55,Early,0,0,1
83,4.8,0.6,6.1,1.0,0.0,352.0,13.7,1016.5,10,11,2019,14,58,Severely Late,0,0,1
9,8.8,3.3,13.3,0.0,0.0,86.0,14.0,1018.2,10,11,2021,20,51,On-Time,0,0,1
3,2.9,-4.9,10.6,0.0,0.0,194.0,19.8,1014.1,10,11,2022,14,57,On-Time,0,0,0
-12,19.6,15.6,24.4,0.0,0.0,193.0,21.2,1013.4,10,11,2022,21,4,Early,0,0,1
0,-2.2,-10.5,0.6,6.4,50.0,338.0,27.0,1025.0,11,11,2019,14,58,On-Time,0,0,1
151,-2.2,-10.5,0.6,6.4,50.0,338.0,27.0,1025.0,11,11,2019,20,55,Severely Late,0,0,1
182,11.5,5.0,13.9,11.2,0.0,203.0,20.5,1003.7,11,11,2021,20,51,Severely Late,0,0,1
13,-2.7,-8.2,2.8,0.0,0.0,116.0,13.3,1022.6,11,11,2022,14,57,Late,0,0,0
6,10.9,0.0,16.1,0.0,0.0,295.0,19.8,1011.4,11,11,2022,21,4,On-Time,0,0,1
-18,-10.3,-13.8,-8.2,0.0,80.0,287.0,15.1,1032.1,12,11,2019,14,58,Early,0,0,1
1,-10.3,-13.8,-8.2,0.0,80.0,287.0,15.1,1032.1,12,11,2019,20,55,On-Time,0,0,1
13,4.8,1.7,6.1,1.3,0.0,233.0,23.0,1006.7,12,11,2021,20,51,Late,0,0,1
3,-2.3,-11.0,10.6,0.0,0.0,164.0,9.7,1020.0,12,11,2022,14,57,On-Time,0,0,0
-10,1.1,0.0,2.2,0.0,0.0,293.0,16.2,1017.1,12,11,2022,22,43,On-Time,0,0,1
-29,-9.1,-11.6,-2.7,0.0,50.0,195.0,18.7,1022.9,13,11,2019,14,58,Early,0,0,1
-21,-9.1,-11.6,-2.7,0.0,50.0,195.0,18.7,1022.9,13,11,2019,20,55,Early,0,0,1
-5,2.8,0.6,3.9,0.8,0.0,263.0,18.0,1013.2,13,11,2021,20,51,On-Time,0,0,1
-7,1.9,-6.0,10.0,0.0,0.0,11.0,15.5,1013.4,13,11,2022,14,57,On-Time,0,0,0
-17,0.7,-2.1,3.3,0.0,0.0,309.0,12.2,1025.7,13,11,2022,21,4,Early,0,0,1
-17,-2.7,-4.3,-1.0,0.3,50.0,260.0,11.5,1023.7,14,11,2019,14,58,Early,0,0,1
-15,-2.7,-4.3,-1.0,0.3,50.0,260.0,11.5,1023.7,14,11,2019,20,55,Early,0,0,1
-4,2.0,0.6,2.8,0.3,0.0,268.0,22.7,1009.3,14,11,2021,20,51,On-Time,0,0,1
-9,-3.6,-12.1,2.8,0.0,0.0,40.0,9.4,1021.5,14,11,2022,14,57,On-Time,0,0,0
-18,0.4,-2.7,5.6,0.0,0.0,140.0,7.9,1027.3,14,11,2022,21,4,Early,0,0,1
0,-2.7,-5.5,3.3,0.0,50.0,302.0,9.7,1028.4,15,11,2019,15,3,On-Time,0,0,1
-8,-2.7,-5.5,3.3,0.0,50.0,302.0,9.7,1028.4,15,11,2019,20,55,On-Time,0,0,1
50,0.5,-1.0,2.2,0.3,0.0,264.0,7.2,1019.1,15,11,2021,20,51,Severely Late,0,0,1
-10,-2.1,-8.8,2.2,1.8,30.0,195.0,10.1,1027.7,15,11,2022,14,57,On-Time,0,0,0
-11,2.1,0.6,3.3,6.4,30.0,55.0,9.0,1022.0,15,11,2022,21,4,Early,0,0,1
-13,3.2,-1.0,13.3,0.0,0.0,115.0,14.4,1015.3,16,11,2021,20,51,Early,0,0,1
40,-1.6,-7.1,5.6,0.0,0.0,223.0,14.8,1029.4,16,11,2022,14,57,Severely Late,0,0,0
-10,1.3,-0.5,2.8,1.0,0.0,276.0,14.4,1019.5,16,11,2022,21,4,On-Time,0,0,1
26,0.5,-2.7,4.4,1.0,0.0,167.0,10.4,1016.1,17,11,2019,23,55,Late,0,0,1
-19,0.5,-2.7,4.4,1.0,0.0,167.0,10.4,1016.1,17,11,2019,14,58,Early,0,0,1
-16,12.6,4.4,16.1,3.3,0.0,244.0,19.8,1010.1,17,11,2021,20,51,Early,0,0,1
67,-4.6,-10.5,-1.6,2.0,0.0,40.0,16.2,1029.2,17,11,2022,14,57,Severely Late,0,0,0
59,-0.2,-1.6,0.6,0.0,0.0,245.0,23.0,1019.8,17,11,2022,21,4,Severely Late,0,0,1
-12,2.6,1.1,4.4,0.0,0.0,272.0,8.3,1008.8,18,11,2019,14,58,Early,0,0,1
-10,2.6,1.1,4.4,0.0,0.0,272.0,8.3,1008.8,18,11,2019,20,55,On-Time,0,0,1
-8,2.7,0.0,4.4,0.0,0.0,274.0,23.0,1022.5,18,11,2021,20,51,On-Time,0,0,1
23,-9.5,-14.3,-5.5,1.3,80.0,154.0,9.4,1029.9,18,11,2022,14,57,Late,0,0,0
14,-2.3,-6.0,-1.0,0.0,0.0,257.0,24.5,1020.9,18,11,2022,21,4,Late,0,0,1
-10,2.9,1.7,5.0,0.3,0.0,231.0,4.7,1010.6,19,11,2019,14,58,On-Time,0,0,1
-24,2.9,1.7,5.0,0.3,0.0,231.0,4.7,1010.6,19,11,2019,20,55,Early,0,0,1
4,0.4,-3.2,4.4,0.0,0.0,216.0,12.6,1030.4,19,11,2021,20,51,On-Time,0,0,1
10,-6.6,-13.2,3.3,0.0,50.0,187.0,16.9,1028.4,19,11,2022,14,57,On-Time,0,0,0
9,-5.2,-8.8,-2.7,0.0,0.0,254.0,25.9,1018.9,19,11,2022,22,39,On-Time,0,0,1
-13,4.9,3.3,8.3,0.0,0.0,191.0,10.4,1020.2,20,11,2019,14,58,Early,0,0,1
-18,4.9,3.3,8.3,0.0,0.0,191.0,10.4,1020.2,20,11,2019,20,55,Early,0,0,1
-5,4.3,2.2,10.0,0.0,0.0,203.0,13.0,1021.5,20,11,2021,20,51,On-Time,0,0,1
-2,-0.1,-8.8,10.0,0.0,30.0,195.0,13.7,1022.5,20,11,2022,14,57,On-Time,0,0,0
-6,-5.9,-10.5,1.1,0.0,0.0,228.0,20.5,1026.0,20,11,2022,21,4,On-Time,0,0,1
-19,8.1,2.8,12.2,13.0,0.0,225.0,23.8,1010.5,21,11,2019,14,58,Early,0,0,1
-11,8.1,2.8,12.2,13.0,0.0,225.0,23.8,1010.5,21,11,2019,20,55,Early,0,0,1
-25,6.4,-1.0,12.8,0.0,0.0,302.0,16.9,1017.3,21,11,2021,20,51,Early,0,0,1
-13,1.9,-7.1,12.8,0.0,0.0,183.0,13.3,1022.3,21,11,2022,14,57,Early,0,0,0
-20,1.9,-1.0,8.3,0.0,0.0,252.0,18.4,1021.1,21,11,2022,21,7,Early,0,0,1
29,2.2,-2.1,3.3,0.0,0.0,339.0,10.8,1020.6,22,11,2019,14,58,Late,0,0,1
2,2.2,-2.1,3.3,0.0,0.0,339.0,10.8,1020.6,22,11,2019,20,55,On-Time,0,0,1
154,-0.4,-4.9,2.2,0.0,0.0,283.0,14.8,1022.6,22,11,2021,20,51,Severely Late,0,0,1
1,3.2,-3.8,11.7,0.0,0.0,172.0,14.4,1020.1,22,11,2022,14,57,On-Time,0,0,0
-17,3.2,-3.2,11.1,0.0,0.0,244.0,10.4,1022.5,22,11,2022,21,7,Early,0,0,1
-3,-0.2,-4.3,6.1,0.0,0.0,214.0,15.1,1021.6,23,11,2021,20,51,On-Time,0,0,1
5,3.6,-1.0,11.1,0.0,0.0,317.0,19.8,1013.6,23,11,2022,14,57,On-Time,0,0,0
-16,6.4,1.1,14.4,0.0,0.0,196.0,10.8,1020.7,23,11,2022,21,7,Early,0,0,1
131,3.3,0.0,10.0,0.0,0.0,226.0,15.1,1004.4,24,11,2019,20,55,Severely Late,0,0,1
-10,3.3,0.0,10.0,0.0,0.0,226.0,15.1,1004.4,24,11,2019,14,58,On-Time,0,0,1
-11,5.5,2.8,11.7,1.0,0.0,199.0,21.6,1014.1,24,11,2021,20,51,Early,0,0,1
-28,7.5,1.7,12.2,0.0,0.0,207.0,13.0,1019.2,24,11,2022,13,34,Early,0,0,1
-2,6.9,2.8,11.7,0.0,0.0,221.0,11.5,1003.0,25,11,2019,20,55,On-Time,0,0,1
3,6.9,2.8,11.7,0.0,0.0,221.0,11.5,1003.0,25,11,2019,15,3,On-Time,0,0,1
-10,6.7,-4.9,8.9,0.0,0.0,312.0,21.6,1018.7,25,11,2021,17,49,On-Time,0,0,1
4,3.8,-2.7,16.1,0.0,0.0,213.0,12.2,1024.3,25,11,2022,14,57,On-Time,0,0,0
-8,6.4,0.6,11.1,0.0,0.0,259.0,11.5,1021.9,25,11,2022,21,7,On-Time,0,0,1
-6,5.1,0.0,10.0,9.4,0.0,40.0,12.2,1006.9,26,11,2019,23,55,On-Time,0,0,1
-14,5.1,0.0,10.0,9.4,0.0,40.0,12.2,1006.9,26,11,2019,14,58,Early,0,0,1
3,-4.1,-7.7,-0.5,0.0,0.0,257.0,10.4,1022.4,26,11,2021,20,51,On-Time,0,0,1
