Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Atmospheric Pressure(hPa) /Day,Flight Number_212,Flight Number_279,Flight Number_288,Flight Number_308,Flight Number_316,Flight Number_333,Flight Number_358,Flight Number_360,Flight Number_376,Flight Number_379,Flight Number_380,Flight Number_411,Flight Number_437,Flight Number_441,Flight Number_451,Flight Number_467,Flight Number_479,Flight Number_524,Flight Number_535,Flight Number_547,Flight Number_561,Flight Number_568,Flight Number_582,Flight Number_599,Flight Number_604,Flight Number_607,Flight Number_617,Flight Number_652,Flight Number_702,Flight Number_760,Flight Number_776,Flight Number_790,Flight Number_794,Flight Number_849,Flight Number_964,Flight Number_1036,Flight Number_1041,Flight Number_1046,Flight Number_1094,Flight Number_1185,Flight Number_1196,Flight Number_1200,Flight Number_1224,Flight Number_1240,Flight Number_1260,Flight Number_1282,Flight Number_1284,Flight Number_1409,Flight Number_1419,Flight Number_1422,Flight Number_1452,Flight Number_1453,Flight Number_1460,Flight Number_1500,Flight Number_1503,Flight Number_1532,Flight Number_1559,Flight Number_1622,Flight Number_1643,Flight Number_1664,Flight Number_1795,Flight Number_1815,Flight Number_1864,Flight Number_1874,Flight Number_1917,Flight Number_1952,Flight Number_1968,Flight Number_1995,Flight Number_1998,Flight Number_2000,Flight Number_2012,Flight Number_2027,Flight Number_2038,Flight Number_2039,Flight Number_2044,Flight Number_2051,Flight Number_2103,Flight Number_2113,Flight Number_2131,Flight Number_2198,Flight Number_2238,Flight Number_2267,Flight Number_2341,Flight Number_2360,Flight Number_2375,Flight Number_2416,Flight Number_2419,Flight Number_2488,Flight Number_2615,Flight Number_2617,Flight Number_2634,Flight Number_2645,Origin Airport_DEN,Origin Airport_EWR,Origin Airport_IAD,Origin Airport_ORD,Arrival Time,Hour,Minute,year,month,day,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday,Status_Early,Status_Late,Status_On-Time,Status_Severely Late
4.8,3.9,8.9,28.4,0.0,28.0,12.2,1003.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:07:00,21,7,2023,1,3,0,0,0,0,0,1,0,0,0,1,0
-3.3,-8.2,0.0,0.0,80.0,195.0,9.0,1029.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-04-20 23:44:00,23,44,2022,1,4,0,0,0,0,0,1,0,0,0,0,1
-5.7,-11.6,-1.0,0.0,100.0,178.0,14.4,1018.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023-04-20 14:59:00,14,59,2023,1,4,0,0,0,0,0,0,1,1,0,0,0
3.9,0.6,6.7,0.0,0.0,228.0,13.3,1006.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:17:00,21,17,2023,1,4,0,0,0,0,0,0,1,0,1,0,0
-0.7,-4.3,5.6,0.0,0.0,231.0,22.3,1015.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:47:00,21,47,2020,1,5,0,0,0,1,0,0,0,0,0,1,0
-0.6,-3.8,2.8,0.0,50.0,187.0,12.6,1013.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-04-20 23:44:00,23,44,2022,1,5,0,0,0,0,0,0,1,1,0,0,0
-6.9,-12.1,-1.0,0.0,100.0,236.0,9.7,1020.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023-04-20 14:59:00,14,59,2023,1,5,0,0,0,0,1,0,0,0,0,1,0
0.6,0.0,1.1,0.5,0.0,234.0,13.7,1011.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:17:00,21,17,2023,1,5,0,0,0,0,1,0,0,0,0,1,0
1.0,-2.7,5.6,0.0,0.0,243.0,15.5,1019.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:19:00,21,19,2020,1,6,0,1,0,0,0,0,0,1,0,0,0
1.9,-2.7,5.0,0.0,30.0,24.0,8.6,1012.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-04-20 23:44:00,23,44,2022,1,6,0,0,0,0,1,0,0,0,0,1,0
-3.6,-8.8,3.3,0.0,100.0,244.0,10.8,1017.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023-04-20 14:59:00,14,59,2023,1,6,1,0,0,0,0,0,0,0,0,1,0
-0.5,-3.8,1.1,0.0,0.0,259.0,11.2,1021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:17:00,21,17,2023,1,6,1,0,0,0,0,0,0,0,0,1,0
6.4,4.4,11.7,11.2,0.0,189.0,25.2,1007.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 20:49:00,20,49,2019,1,7,0,1,0,0,0,0,0,1,0,0,0
1.1,-2.1,4.4,0.0,0.0,252.0,17.3,1016.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:19:00,21,19,2020,1,7,0,0,0,0,0,1,0,1,0,0,0
-1.0,-5.5,1.7,6.6,130.0,313.0,24.5,1018.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-04-20 23:44:00,23,44,2022,1,7,1,0,0,0,0,0,0,0,1,0,0
-1.9,-7.1,3.3,0.0,100.0,164.0,16.6,1025.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023-04-20 14:59:00,14,59,2023,1,7,0,0,1,0,0,0,0,0,0,1,0
-1.8,-2.7,0.0,0.0,0.0,352.0,9.4,1028.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:17:00,21,17,2023,1,7,0,0,1,0,0,0,0,0,0,0,1
5.2,-4.3,7.2,0.0,0.0,263.0,23.4,1010.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 20:49:00,20,49,2019,1,8,0,0,0,0,0,1,0,0,0,0,1
-4.5,-9.9,-1.6,0.0,0.0,1.0,18.0,1027.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:19:00,21,19,2020,1,8,0,0,0,0,0,0,1,1,0,0,0
-4.4,-9.9,0.6,0.0,80.0,266.0,9.0,1035.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-04-20 23:44:00,23,44,2022,1,8,0,0,1,0,0,0,0,0,0,1,0
-1.3,-7.7,8.9,0.0,100.0,201.0,15.8,1020.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023-04-20 15:02:00,15,2,2023,1,8,0,0,0,1,0,0,0,0,1,0,0
-1.1,-3.2,0.6,0.0,0.0,319.0,7.9,1024.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:17:00,21,17,2023,1,8,0,0,0,1,0,0,0,1,0,0,0
-4.9,-9.3,-4.3,0.0,0.0,308.0,22.0,1024.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 20:49:00,20,49,2019,1,9,0,0,0,0,0,0,1,1,0,0,0
0.0,-4.9,10.0,0.5,0.0,171.0,25.9,1017.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:19:00,21,19,2020,1,9,0,0,0,0,1,0,0,1,0,0,0
0.6,-1.6,6.7,8.1,50.0,191.0,11.9,1023.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-04-20 23:44:00,23,44,2022,1,9,0,0,0,1,0,0,0,0,0,0,1
2.8,-5.5,6.7,0.0,80.0,214.0,14.8,1014.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023-04-20 14:59:00,14,59,2023,1,9,0,1,0,0,0,0,0,0,0,1,0
-0.6,-3.8,6.7,0.0,0.0,206.0,13.7,1018.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:17:00,21,17,2023,1,9,0,1,0,0,0,0,0,1,0,0,0
4.8,2.8,8.9,0.3,0.0,282.0,11.5,1014.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2023-04-20 23:12:00,23,12,2023,1,9,0,1,0,0,0,0,0,0,0,0,1
-7.8,-9.9,-4.3,0.0,0.0,329.0,7.2,1030.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 20:49:00,20,49,2019,1,10,0,0,0,0,1,0,0,0,1,0,0
7.9,2.2,10.0,21.3,0.0,43.0,18.4,1016.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:19:00,21,19,2020,1,10,1,0,0,0,0,0,0,0,0,0,1
2.1,-3.2,5.6,0.0,0.0,310.0,27.0,1023.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-04-20 23:44:00,23,44,2022,1,10,0,1,0,0,0,0,0,0,1,0,0
3.3,-2.1,11.7,0.0,50.0,208.0,16.2,1007.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023-04-20 14:59:00,14,59,2023,1,10,0,0,0,0,0,1,0,0,0,0,1
4.7,1.1,10.0,0.0,0.0,191.0,7.9,1011.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:38:00,21,38,2023,1,10,0,0,0,0,0,1,0,1,0,0,0
