iter	Passed	Remaining
229	998	1172
230	1001	1166
231	1006	1163
232	1011	1159
233	1015	1154
234	1019	1149
235	1024	1146
236	1028	1140
237	1031	1135
238	1035	1130
239	1039	1126
240	1043	1121
241	1046	1116
242	1050	1110
243	1054	1106
244	1057	1101
245	1061	1096
246	1065	1091
247	1069	1087
248	1073	1082
249	1077	1077
250	1080	1071
251	1085	1068
252	1088	1063
253	1092	1057
254	1095	1052
255	1099	1047
256	1102	1042
257	1106	1037
258	1109	1032
259	1112	1027
260	1116	1022
261	1119	1016
262	1122	1011
263	1125	1006
264	1129	1001
265	1145	1007
266	1148	1002
267	1151	997
268	1155	992
269	1158	986
270	1161	981
271	1165	977
272	1169	972
273	1172	967
274	1175	961
275	1179	956
276	1182	951
277	1185	946
278	1188	941
279	1192	936
280	1195	931
281	1198	926
282	1201	921
283	1206	917
284	1209	912
285	1212	907
286	1215	902
287	1219	897
288	1222	892
289	1225	887
290	1228	882
291	1231	877
292	1235	872
293	1238	867
294	1242	863
295	1246	858
296	1250	854
297	1253	849
298	1256	844
299	1260	840
300	1263	835
301	1266	830
302	1270	825
303	1273	820
304	1277	816
305	1280	811
306	1283	806
307	1286	802
308	1290	797
309	1293	792
310	1296	787
311	1299	783
312	1303	778
313	1306	773
314	1310	769
315	1314	765
316	1318	761
317	1322	756
318	1325	752
319	1329	747
320	1333	743
321	1337	739
322	1341	735
323	1345	730
324	1349	726
325	1353	722
326	1358	718
327	1361	714
328	1365	709
329	1368	704
330	1371	700
331	1375	695
332	1378	691
333	1381	686
334	1384	682
335	1388	677
336	1391	673
337	1394	668
338	1397	663
339	1400	659
340	1403	654
341	1407	650
342	1410	645
343	1413	640
344	1416	636
345	1419	631
346	1424	627
347	1427	623
348	1431	619
349	1435	615
350	1438	610
351	1442	606
352	1445	601
353	1448	597
354	1451	592
355	1455	588
356	1458	584
357	1462	579
358	1465	575
359	1468	571
360	1471	566
361	1474	562
362	1478	557
363	1481	553
364	1484	549
365	1487	544
366	1490	540
367	1494	535
368	1497	531
369	1500	527
370	1503	522
371	1507	518
372	1510	514
373	1514	510
374	1517	505
375	1520	501
376	1523	497
377	1526	492
378	1530	488
379	1533	484
380	1536	479
381	1539	475
382	1543	471
383	1546	467
384	1549	462
385	1553	458
386	1556	454
387	1559	450
388	1562	445
389	1565	441
390	1568	437
391	1571	433
392	1575	428
393	1578	424
394	1581	420
395	1584	416
396	1588	412
397	1591	407
398	1594	403
399	1597	399
400	1601	395
401	1605	391
402	1609	387
403	1613	383
404	1616	379
405	1619	375
406	1622	370
407	1626	366
408	1629	362
409	1632	358
410	1635	354
411	1638	350
412	1642	345
413	1645	341
414	1648	337
415	1652	333
416	1655	329
417	1658	325
418	1661	321
419	1665	317
420	1668	313
421	1671	308
422	1674	304
423	1678	300
424	1681	296
425	1684	292
426	1687	288
427	1691	284
428	1694	280
429	1697	276
430	1700	272
431	1704	268
432	1707	264
433	1710	260
434	1713	256
435	1716	252
436	1720	247
437	1723	243
438	1726	239
439	1729	235
440	1733	231
441	1736	227
442	1739	223
443	1742	219
444	1746	215
445	1749	211
446	1753	207
447	1756	203
448	1759	199
449	1763	195
450	1766	191
451	1769	187
452	1773	183
453	1776	179
454	1780	176
455	1784	172
456	1788	168
457	1791	164
458	1794	160
459	1797	156
460	1801	152
461	1804	148
462	1807	144
463	1810	140
464	1813	136
465	1817	132
466	1820	128
467	1823	124
468	1826	120
469	1830	116
470	1833	112
471	1836	108
472	1839	104
473	1842	101
474	1845	97
475	1848	93
476	1851	89
477	1855	85
478	1858	81
479	1861	77
480	1864	73
481	1868	69
482	1871	65
483	1874	61
484	1877	58
485	1881	54
486	1884	50
487	1887	46
488	1890	42
489	1894	38
490	1897	34
491	1900	30
492	1903	27
493	1907	23
494	1910	19
495	1913	15
496	1916	11
497	1919	7
498	1922	3
499	1926	0
