iter	MultiClass
0	1.339849076
1	1.301233626
2	1.272457387
3	1.24775955
4	1.229042371
5	1.210280906
6	1.198493957
7	1.18323478
8	1.172518001
9	1.160962804
10	1.152524508
11	1.145656141
12	1.137122906
13	1.131390772
14	1.123635157
15	1.116761291
16	1.111525476
17	1.103456123
18	1.097728897
19	1.089636459
20	1.085648058
21	1.079720348
22	1.073531299
23	1.070289085
24	1.066982387
25	1.063101914
26	1.061010404
27	1.059238754
28	1.056014314
29	1.049557336
30	1.044233757
31	1.039909116
32	1.036185242
33	1.032341053
34	1.028489974
35	1.024222028
36	1.020194699
37	1.016126928
38	1.012124685
39	1.009291761
40	1.006502086
41	1.003236654
42	0.9986673002
43	0.9948486607
44	0.9919483689
45	0.987627163
46	0.9861286356
47	0.98368529
48	0.9826071411
49	0.9798367303
50	0.9755718298
51	0.972483968
52	0.9699356883
53	0.9665031753
54	0.9630470709
55	0.95981808
56	0.9554344222
57	0.9533428645
58	0.9488733174
59	0.9460228157
60	0.9430955463
61	0.9397489893
62	0.9361036496
63	0.9329593535
64	0.9253928318
65	0.921214198
66	0.917379084
67	0.9145173263
68	0.9117407366
69	0.9078939771
70	0.9060974288
71	0.9025759078
72	0.8995024196
73	0.8940871364
74	0.8910079116
75	0.887923464
76	0.884140233
77	0.8808509616
78	0.8780529297
79	0.8754340451
80	0.8726393098
81	0.8701908164
82	0.8678325182
83	0.8664778539
84	0.8641485957
85	0.8608323847
86	0.8577417076
87	0.8550409738
88	0.8518262642
89	0.849018929
90	0.8463249195
91	0.8433383425
92	0.8412396043
93	0.8381015841
94	0.8359925252
95	0.8337795771
96	0.8309735521
97	0.8290088046
98	0.8248580614
99	0.8223043209
100	0.818257512
101	0.814366852
102	0.8115058868
103	0.8089462134
104	0.8067705653
105	0.8034918287
106	0.8013794811
107	0.7993581022
108	0.7975760151
109	0.7954102389
110	0.7940364268
111	0.7920366128
112	0.7889305524
113	0.7872958118
114	0.786040949
115	0.7838356032
116	0.7818732371
117	0.7793754193
118	0.7773500606
119	0.7736705876
120	0.7699769345
121	0.768376798
122	0.7658590384
123	0.7641425231
124	0.7615261205
125	0.7589789327
126	0.7575621763
127	0.7560159518
128	0.7544986415
129	0.7525373644
130	0.7515969788
131	0.7492005862
132	0.7450545747
133	0.7442987203
134	0.7422990983
135	0.7395054685
136	0.7371507638
137	0.7341416747
138	0.7329184604
139	0.7304974501
140	0.7283444418
141	0.725696131
142	0.7235271198
143	0.7218552683
144	0.719654805
145	0.718104412
146	0.7167731635
147	0.714551046
148	0.7118860282
149	0.7102279539
150	0.7070175342
151	0.7056432131
152	0.704258045
153	0.7018892229
154	0.6981208693
155	0.6957176149
156	0.6938431153
157	0.6902824328
158	0.6890343127
159	0.6861388433
160	0.6836480667
161	0.6820428203
162	0.6803358868
163	0.6792052164
164	0.6776526215
165	0.6764793455
166	0.6740973388
167	0.6722670532
168	0.6713450255
169	0.669353087
170	0.6675969202
171	0.6652809803
172	0.6628381909
173	0.6606903079
174	0.6586600278
175	0.6547635202
176	0.6532380579
177	0.6507301792
178	0.6483658223
179	0.6470156243
180	0.6452113268
181	0.6427178315
182	0.640260523
183	0.638066443
184	0.6355181825
185	0.6334954604
186	0.632258993
187	0.6303531085
188	0.6273933153
189	0.6265053001
190	0.6241310173
191	0.6233660593
192	0.6222214989
193	0.6202881423
194	0.6187871389
195	0.6164553343
196	0.6141717187
197	0.6114421216
198	0.6100580776
199	0.6080636184
200	0.6060874276
201	0.6038556471
202	0.6016821285
203	0.5995584362
204	0.5988191564
205	0.5977685507
206	0.5962473409
207	0.5946213302
208	0.5933223285
209	0.5917437275
210	0.5899431666
211	0.5873708276
212	0.5859306902
213	0.5838048511
214	0.5829155388
215	0.5805829867
216	0.5783509709
217	0.5762131438
218	0.5753512831
219	0.5740731434
220	0.5732061147
221	0.572187264
222	0.5712566047
223	0.5697718075
224	0.5682231538
225	0.5669570906
226	0.5651425449
227	0.5635968028
228	0.5620878255
229	0.5605735172
230	0.5585039441
231	0.5568949086
232	0.5543782335
