iter	MultiClass
233	0.5525410397
234	0.5509192758
235	0.5487016384
236	0.5473739659
237	0.546569409
238	0.5445875487
239	0.5430330712
240	0.5413966029
241	0.5402360139
242	0.5382492363
243	0.5371492032
244	0.5362775885
245	0.5352478343
246	0.5341267758
247	0.5324491171
248	0.5309285067
249	0.5301732859
250	0.5289840017
251	0.5276892987
252	0.5268208353
253	0.5252234157
254	0.524162953
255	0.5234111201
256	0.5219063908
257	0.5209453672
258	0.5198285379
259	0.5184459827
260	0.5177235381
261	0.5163547512
262	0.5156351174
263	0.5138807386
264	0.512437088
265	0.5111750653
266	0.5101892338
267	0.5085896172
268	0.5074066197
269	0.5066053751
270	0.5047676633
271	0.5037961361
272	0.5029878838
273	0.501411963
274	0.4997438897
275	0.4990728649
276	0.4975477285
277	0.4963147241
278	0.4953015363
279	0.4943402927
280	0.4932251162
281	0.4922361554
282	0.4910013179
283	0.4892492334
284	0.4876874327
285	0.4865911337
286	0.4855918182
287	0.4838979717
288	0.4820386804
289	0.4808573059
290	0.4791649761
291	0.4778873754
292	0.4760014961
293	0.4742681095
294	0.4733452986
295	0.4725113013
296	0.4710432876
297	0.4697455302
298	0.4684677185
299	0.4676517537
300	0.4665529353
301	0.4649626513
302	0.4642734461
303	0.462473949
304	0.4614882702
305	0.4605215196
306	0.459520196
307	0.4583464351
308	0.4572895707
309	0.4566172048
310	0.4561079524
311	0.4552769051
312	0.4541048263
313	0.4528117515
314	0.4520233305
315	0.4505323364
316	0.4487103708
317	0.4470959877
318	0.4461343178
319	0.4448169341
320	0.4440656261
321	0.4423391653
322	0.4403093073
323	0.4393598952
324	0.438541669
325	0.4374632699
326	0.4362782669
327	0.435527575
328	0.4338173587
329	0.4326150394
330	0.4309818314
331	0.4299235945
332	0.4287190499
333	0.4277114433
334	0.4273693045
335	0.4265001155
336	0.4250531547
337	0.4236934706
338	0.4227954911
339	0.4217463876
340	0.4210660326
341	0.4202909842
342	0.4192090135
343	0.4183451078
344	0.4176997738
345	0.4165389754
346	0.4155708708
347	0.414285148
348	0.4127885337
349	0.4118757156
350	0.4109219725
351	0.4104047392
352	0.4094394354
353	0.4084294096
354	0.4073625954
355	0.4063553127
356	0.4048251383
357	0.4034346652
358	0.4029515311
359	0.4017491943
360	0.4008103389
361	0.3996791475
362	0.3987581436
363	0.3980007205
364	0.3973420829
365	0.3960286331
366	0.3947571455
367	0.3935801158
368	0.3921434705
369	0.3913869663
370	0.3899326419
371	0.3894458749
372	0.3887067296
373	0.3879355056
374	0.38730873
375	0.3859540734
376	0.3854820512
377	0.3851790712
378	0.3842095547
379	0.38332293
380	0.3827357757
381	0.3815380771
382	0.3805274473
383	0.3795904869
384	0.378884724
385	0.3775281445
386	0.3771151491
387	0.3766208988
388	0.375531494
389	0.3745160121
390	0.3734648824
391	0.3729741888
392	0.372440999
393	0.3716527485
394	0.3704327341
395	0.3696332075
396	0.3688611365
397	0.3682551591
398	0.3671218625
399	0.3664812602
400	0.3656289277
401	0.3649143148
402	0.3639887081
403	0.3628880514
404	0.3624192282
405	0.3614712056
406	0.3600796947
407	0.3595437108
408	0.358660898
409	0.3575449082
410	0.3568006379
411	0.3559931957
412	0.3550151778
413	0.3544111799
414	0.3535835295
415	0.3531030801
416	0.3525977188
417	0.3515910027
418	0.3509585434
419	0.3496840319
420	0.3488839177
421	0.3476684835
422	0.3468862135
423	0.346237445
424	0.345533731
425	0.3446162935
426	0.3431076769
427	0.3423893617
428	0.3415302129
429	0.3404479134
430	0.3393770275
431	0.33860538
432	0.3375865797
433	0.3369994699
434	0.3361034297
435	0.335502765
436	0.3346674145
437	0.3342382391
438	0.3332988918
439	0.3326394603
440	0.3322209054
441	0.3314708858
442	0.330747468
443	0.329710694
444	0.3290294764
445	0.3281442926
446	0.3269535009
447	0.3259950931
448	0.3251238864
449	0.3245366089
450	0.3240121204
451	0.3232096167
452	0.322631702
453	0.322094092
454	0.3213421426
455	0.3208293693
456	0.3200998969
457	0.3194930929
458	0.3190235767
459	0.31848776
460	0.318018093
461	0.3172085866
462	0.3167292718
463	0.3158875043
464	0.3155564673
465	0.3150220168
466	0.3139625462
467	0.3132684317
468	0.3126284316
469	0.3121379092
470	0.3117787913
471	0.3114537539
472	0.310824515
473	0.3101999594
474	0.3098774666
475	0.3092891227
476	0.3087581825
477	0.3077376942
478	0.3069390982
479	0.3062742587
480	0.3054975783
481	0.3049319619
482	0.3041817021
483	0.3031296298
484	0.3024155394
485	0.3020599492
486	0.3016510285
487	0.300570221
488	0.2999489458
489	0.2990997124
490	0.2980952131
491	0.2974812231
492	0.2969221783
493	0.2964293078
494	0.29583984
495	0.2952887493
496	0.2945512365
497	0.2938516335
498	0.2930421718
499	0.2922693526
